interval:20
x,y,z
-1.2858582,6.0058594,-9.325378
-1.8768616,7.863037,-10.831238
-2.880127,6.9160156,-9.558411
-2.8270264,5.303467,-9.762146
-1.9900513,3.6391602,-9.798401
-3.4794312,5.3427734,-9.771179
-0.8640442,4.8864746,-10.558899
-1.9030457,4.9257812,-9.790222
-3.2344055,5.810791,-9.706482
-2.5709534,5.3115234,-10.541565
-1.1187134,4.736328,-10.4262085
-1.4013672,5.5341797,-9.544983
-2.6950989,5.1533203,-10.407166
-2.8174133,4.715576,-11.722961
-1.538147,5.708496,-9.682983
-3.7346191,5.0598145,-10.598572
-1.9214478,5.286377,-11.00238
-3.2392578,5.8344727,-10.489502
-2.858429,6.133545,-10.443298
-1.4187622,5.8901367,-10.600525
-0.86694336,4.900879,-11.028748
-0.86694336,4.900879,-11.028748
-1.2221375,4.070801,-9.569885
-1.2221375,4.070801,-9.569885
-2.5496826,4.666504,-10.623047
-2.2645264,3.991455,-10.23114
-2.9169312,4.0307617,-10.240173
-1.3965149,5.510498,-8.761902
-2.5800476,5.761963,-9.384216
0.22808838,3.505127,-9.767761
-1.0704651,3.147705,-11.413025
-2.31958,5.6132812,-10.340637
-1.5202637,5.215332,-9.430847
-1.4893188,4.522705,-7.946228
-1.5154114,5.1914062,-8.647827
-0.6098633,4.904297,-11.65155
-1.3699646,4.7043457,-8.8637085
-2.2702942,4.290039,-9.407349
-2.6003723,6.132324,-10.909546
-2.6864014,4.840332,-10.761108
-2.5573425,5.244873,-8.34906
-1.269043,5.2470703,-10.993347
-1.5584717,6.0788574,-11.208313
-0.7470093,5.4853516,-9.222717
-2.5534973,4.9558105,-9.486023
-1.7730408,4.7851562,-10.748474
-1.0979309,4.22876,-9.704285
0.57373047,4.9230957,-9.265808
-1.5096436,4.8928223,-9.471619
-2.8086853,4.6726074,-10.313416
-2.0378418,5.090088,-9.615051
-2.7216492,5.9594727,-10.305298
-1.9253235,5.30542,-11.628845
-2.1640015,4.9416504,-9.793884
-1.4100342,5.847168,-9.190979
-1.0767212,3.5839844,-9.785767
-1.7643127,4.7421875,-9.338989
-1.25354,4.900635,-10.251038
-2.133545,4.116455,-9.269287
-2.8125,4.961914,-9.176453
-0.7489624,5.494873,-9.53595
-2.149475,4.6000977,-9.208191
-1.5096436,4.8928223,-9.471619
-2.040741,5.104492,-10.0849
-1.3680115,4.694824,-8.550537
-1.5222168,5.2248535,-9.74408
-0.5242615,6.333252,-10.996521
-2.1533813,4.6191406,-9.834595
-1.2389832,4.8293457,-7.9019165
-2.2765198,4.726074,-7.7800903
-1.1669617,6.324951,-9.439514
-1.769165,4.7661133,-10.122009
-2.7167969,5.935547,-9.522278
-1.2269897,4.0944824,-10.352966
-2.8096008,4.94751,-8.706604
-1.5584717,6.0788574,-11.208313
-2.9343567,4.3864746,-11.295654
-2.349945,6.70874,-9.101746
-2.0605469,5.6071777,-10.650269
-2.7018738,5.1865234,-11.503418
-2.1620483,4.932129,-9.480652
-2.1843262,5.3117676,-11.319214
-3.4345398,3.9057617,-10.424377
-2.5515442,4.946289,-9.172791
-1.9276428,5.722412,-9.375183
-2.820221,5.2700195,-8.6658325
-2.0329895,5.0664062,-8.832031
-0.07577515,4.948242,-8.804993
-0.8857422,5.6689453,-9.674011
0.98117065,4.686035,-7.5580444
1.5802612,2.1125488,-9.129639
1.657135,3.5847168,-9.884155
1.8026123,3.36792,-8.336609
3.2051086,4.253418,-8.351135
3.1194763,2.824463,-9.006165
3.3615723,3.3066406,-9.411255
1.093689,4.901123,-9.571777
3.755951,3.269043,-8.935974
2.536316,4.9140625,-7.4956665
4.576538,2.2253418,-8.107788
5.407135,0.45703125,-10.043701
6.69751,0.9897461,-8.847961
8.27301,0.84765625,-7.260193
8.387024,1.190918,-8.157288
7.996063,1.3474121,-7.2026978
7.488556,0.4970703,-10.151062
6.69751,0.9897461,-8.847961
3.1653748,1.652832,-7.739197
0.60705566,4.08374,-8.271423
0.68878174,5.531494,-8.242859
0.71047974,4.7492676,-9.127747
0.04547119,5.1208496,-9.409241
0.24890137,2.9975586,-9.045837
-0.07867432,4.9624023,-9.274841
0.8404541,4.6086426,-10.085999
0.8404541,4.6086426,-10.085999
0.022216797,1.8989258,-9.661804
-0.56591797,3.7421875,-10.697876
-0.4387207,4.15625,-8.59906
-0.42721558,3.559082,-10.246582
1.3991394,3.8562012,-7.65448
-0.45037842,4.213379,-10.4783325
-0.34210205,4.8549805,-10.551636
-0.8060913,3.2504883,-9.979553
-0.2913208,3.659668,-8.501709
-1.2573853,5.1899414,-9.114075
-0.7547302,5.793701,-8.712158
-0.82873535,4.0375977,-9.251282
-0.26290894,2.5737305,-10.053772
-0.33633423,4.5563965,-11.375427
2.2070007,2.6049805,-10.625549
0.14154053,2.0808105,-10.579346
-0.59536743,4.562744,-11.065857
1.7784119,3.756836,-10.488464
-1.3588867,4.244385,-9.707947
0.7970581,6.173584,-8.316162
0.7770996,2.8000488,-8.902405
0.3562317,3.644287,-9.275757
0.38464355,2.5581055,-10.82782
1.0057678,3.8894043,-7.9730835
1.6836853,2.7785645,-9.986023
3.3547668,3.340088,-10.507507
4.450836,1.939209,-9.089966
4.3415527,1.0322266,-10.936707
3.7059937,0.31298828,-12.613647
3.8307495,0.87402344,-10.024597
6.3813477,-1.5187988,-10.745361
2.7572632,-2.388916,-12.191345
3.3309326,-0.28442383,-13.483582
3.0186462,-2.8122559,-14.754578
2.359436,-2.739502,-15.859924
4.4056396,-1.5803223,-15.511475
4.0345154,-1.927002,-13.991516
3.483551,-1.2124023,-15.170105
4.233032,-4.026367,-14.411194
4.9970093,-3.8452148,-16.572449
5.373993,-3.527588,-17.152771
6.055786,-4.6574707,-18.539246
7.070709,-3.4970703,-16.16925
6.0437927,-3.9223633,-16.088196
5.8669434,-2.605713,-16.553528
5.882416,-2.9521484,-15.811218
5.829315,-1.3398438,-15.607483
4.420532,-2.3293457,-17.492615
4.115082,-4.6203613,-15.90387
3.1842957,-4.209717,-16.972107
3.8579102,-4.893799,-17.044495
3.825592,-3.7885742,-16.118835
3.8318481,-4.2250977,-17.746094
4.6258545,-4.462158,-16.815979
4.6258545,-4.462158,-16.815979
5.3213196,-5.388672,-14.246399
6.407257,-2.9978027,-15.3341675
6.407257,-2.9978027,-15.3341675
6.637329,-2.0512695,-15.051697
4.770996,-0.6647949,-14.444153
1.7425537,0.8671875,-11.013489
0.19360352,0.203125,-12.703064
0.07336426,0.29614258,-10.178772
1.4680481,1.2197266,-11.446228
0.36340332,3.2033691,-10.746338
-0.42721558,3.559082,-10.246582
2.1867065,2.9748535,-12.15094
0.42227173,1.2922363,-11.773865
0.66781616,1.8930664,-10.749084
1.4926453,0.4230957,-11.861267
0.7968445,2.0270996,-10.100525
1.9880371,1.1977539,-11.752197
1.7536316,0.4074707,-11.857666
1.4618225,1.6557617,-9.819031
1.6846008,2.503418,-11.592834
0.18356323,0.9284668,-9.938904
1.6943054,2.4558105,-10.026794
1.177185,2.1933594,-11.014343
1.9504089,2.463623,-10.806213
0.9306946,1.8676758,-10.432251
1.6875916,2.7595215,-9.359558
1.4449768,2.4143066,-8.151062
1.9291687,3.1088867,-10.72467
1.0606995,1.7270508,-11.390503
0.34069824,3.720459,-11.781555
2.4395142,3.4047852,-10.833313
-0.59051514,4.5388184,-10.282776
0.85928345,4.1105957,-9.677246
0.37020874,3.170166,-9.650085
0.8520813,4.5515137,-8.206604
0.121795654,2.854004,-9.381165
-0.5431824,3.2253418,-9.66272
1.0245667,3.121338,-9.32782
0.10726929,3.1955566,-9.966858
-0.5648804,4.0075684,-8.777832
1.5377502,3.402832,-8.966614
0.36398315,3.6062012,-8.022888
-0.31555176,4.048828,-10.653503
0.19580078,4.6098633,-8.842102
0.24404907,3.0212402,-9.828857
-0.47750854,1.2807617,-9.593933
-0.3550415,5.5944824,-8.257263
-0.0897522,5.4223633,-8.430664
-0.434906,3.8669434,-9.736023
-0.024108887,3.4782715,-8.361877
-1.4039001,1.8051758,-9.075623
-0.78671265,2.8850098,-8.610779
-0.78671265,2.8850098,-8.610779
-0.45272827,4.630371,-8.22467
0.5892029,4.5769043,-8.523499
-0.31982422,4.475342,-8.713074
-0.5720825,4.4484863,-7.30719
0.8414612,4.8740234,-8.165894
0.06097412,4.774414,-8.666931
-1.1393738,5.7839355,-7.621277
0.1253357,6.8483887,-7.930481
-1.8164062,6.620117,-7.21521
0.26989746,6.6364746,-6.539551
-0.7373047,5.437744,-7.6566772
-0.90930176,6.731201,-7.338806
0.1822815,4.946533,-9.271179
-1.8603516,7.7822266,-8.168884
-1.4906006,8.5407715,-7.2786255
-2.0353394,5.4833984,-6.57843
-1.8028564,6.2834473,-6.786133
-1.376709,5.0078125,-8.196594
-2.6660461,4.7402344,-7.47229
-2.5055847,4.044922,-6.142517
-2.776245,4.1081543,-7.712219
-2.7960205,4.8808594,-6.514038
-2.8263855,5.9765625,-5.2752075
-3.3193665,5.0544434,-5.8744507
-1.3084717,3.7268066,-3.3276978
-2.780548,4.534668,-5.7717285
-4.3463135,4.6291504,-5.793396
-5.3351135,3.0703125,-5.698303
-4.1573486,3.1176758,-4.2522583
-4.6884766,3.3295898,-4.8655396
-4.0254517,2.9677734,-4.897217
-3.6340027,2.9440918,-4.8917847
-3.8109741,0.38476562,-5.3779907
-4.371826,5.7006836,-3.7714844
-4.4077454,2.8110352,-4.29657
-3.6340027,2.9440918,-4.8917847
-4.4584045,4.276367,-4.583069
-3.537262,4.1833496,-3.317566
-3.407318,4.0427246,-4.275818
-2.9162598,4.973633,-3.989746
-3.5835571,5.762207,-2.0176392
-3.9828491,5.553711,-5.0393677
-4.32843,4.1359863,-5.541321
-4.232727,5.109619,-5.887085
-3.9746704,5.1081543,-6.3533325
-3.5232239,7.3151855,-5.4345093
-5.437958,6.1435547,-5.6244507
-4.5076904,5.599365,-5.5164185
-4.388336,5.781494,-6.433838
-5.5572815,5.9611816,-4.7070312
-3.9963684,5.890381,-5.468445
